run,gen,best,mean,std
7,16,-60.0,-60.0,0.0
7,17,-60.0,-60.0,0.0
7,18,-60.0,-60.0,0.0
7,19,-60.0,-60.0,0.0
7,20,-60.0,-68.43333333333334,15.722983884181216
7,21,-60.0,-60.53333333333333,4.1825032376954985
7,22,-60.0,-60.0,0.0
7,23,-60.0,-60.0,0.0
7,24,-60.0,-60.0,0.0
7,25,-60.0,-60.0,0.0
7,26,-60.0,-60.0,0.0
7,27,-60.0,-60.0,0.0
7,28,-60.0,-60.0,0.0
7,29,-60.0,-60.0,0.0
8,0,-78.04737854124366,-96.51650324741756,7.317969208088952
8,1,-74.14213562373095,-87.035137256066,9.67580110722426
8,2,-69.13885795591314,-78.14298157739027,3.097827103996128
8,3,-61.38071187457698,-76.21368019337847,2.93254154939991
8,4,-50.330065045309276,-73.4077421954334,4.351268565047732
8,5,-50.330065045309276,-68.62499260519597,6.117738286020253
8,6,-50.330065045309276,-62.967988296152456,7.7664151340029886
8,7,-46.32993161855453,-55.35443702096518,7.163050230597618
8,8,-46.32993161855453,-50.642589381167404,2.639740963175575
8,9,-46.32993161855453,-49.37003302288814,1.7083895046410686
8,10,-46.32993161855453,-58.00078605005187,20.91304202935613
8,11,-46.0947570824873,-47.207649241756975,5.893339137253142
8,12,-46.0947570824873,-46.32287638247251,0.04011777057938375
8,13,-42.189514164974604,-46.248547772887314,0.41738404039201094
8,14,-42.189514164974604,-45.91310814732764,1.0276857378750597
8,15,-42.189514164974604,-44.96929187249064,1.777007238011904
8,16,-41.5599479166099,-43.31573894856965,1.7771743652253758
8,17,-41.5599479166099,-42.164331515040004,0.12336928542174487
8,18,-41.5599479166099,-42.06989657778529,0.24697940893971665
8,19,-41.5599479166099,-41.805478753472144,0.3070708973037524
8,20,-41.5599479166099,-55.003294270790775,23.550268109723245
8,21,-41.5599479166099,-41.5599479166099,0.0
8,22,-41.5599479166099,-41.5599479166099,0.0
8,23,-41.5599479166099,-41.5599479166099,0.0
8,24,-41.5599479166099,-41.5599479166099,0.0
8,25,-41.5599479166099,-41.5599479166099,0.0
8,26,-41.5599479166099,-41.5599479166099,0.0
8,27,-41.5599479166099,-41.5599479166099,0.0
8,28,-37.85120902555778,-41.522860527699386,0.3690148604105591
8,29,-37.71655507924997,-41.410251821504716,0.7334508088433993
9,0,-61.611049245159606,-96.98388229154914,7.914797168116496
9,1,-61.611049245159606,-89.20651145964752,11.534382932516733
9,2,-61.611049245159606,-75.81920014264469,9.088819865794356
9,3,-48.164965809277255,-67.61336358506931,6.598353125955803
9,4,-42.189514164974604,-61.014662512127295,4.286118343189614
9,5,-40.98270516170452,-58.685698203651114,6.169362940624772
9,6,-31.380711874576985,-53.42334844958965,8.256995382898538
9,7,-23.08467646628391,-44.78531544648947,6.368006435894129
9,8,-23.08467646628391,-38.53415756864151,6.609795829094896
9,9,-23.08467646628391,-32.31048967387061,7.088061975119716
9,10,-23.08467646628391,-41.378682099377976,31.244550271337282
9,11,-21.26645435028804,-23.83564748046109,7.656942718569787
9,12,-13.838379011324045,-22.919484607094464,0.9797392930965712
9,13,-13.838379011324045,-22.090421573647685,2.512729386812324
9,14,-13.838379011324045,-19.692591710357352,3.907170685002467
9,15,-12.09974358805772,-15.306607724884179,2.9849277418880544
9,16,-12.09974358805772,-13.768833594393394,0.34070157085842834
